chromo	start	end	width	strand	name
11	384906	384918	13	-	Abf1
11	385049	385061	13	+	Abf1
11	385262	385274	13	+	Abf1
11	401886	401898	13	-	Abf1
11	407972	407984	13	-	Abf1
11	416684	416696	13	+	Abf1
11	417798	417810	13	+	Abf1
11	434738	434750	13	+	Abf1
11	499584	499596	13	+	Abf1
11	499770	499782	13	-	Abf1
11	512928	512940	13	+	Abf1
11	514175	514187	13	+	Abf1
11	524827	524839	13	-	Abf1
11	570945	570957	13	-	Abf1
11	570977	570989	13	-	Abf1
11	592328	592340	13	+	Abf1
12	47651	47663	13	+	Abf1
12	73292	73304	13	-	Abf1
12	125136	125148	13	+	Abf1
12	127391	127403	13	+	Abf1
12	193565	193577	13	+	Abf1
12	194274	194286	13	-	Abf1
12	202847	202859	13	-	Abf1
12	253237	253249	13	+	Abf1
12	332253	332265	13	-	Abf1
12	332277	332289	13	+	Abf1
12	384646	384658	13	-	Abf1
12	539784	539796	13	+	Abf1
12	581890	581902	13	-	Abf1
12	665224	665236	13	+	Abf1
12	672952	672964	13	+	Abf1
12	720494	720506	13	+	Abf1
12	721644	721656	13	+	Abf1
12	787495	787507	13	-	Abf1
12	795332	795344	13	-	Abf1
12	826722	826734	13	+	Abf1
12	862393	862405	13	+	Abf1
12	912447	912459	13	+	Abf1
12	1043411	1043423	13	-	Abf1
12	1043733	1043745	13	-	Abf1
13	104331	104343	13	+	Abf1
13	104533	104545	13	+	Abf1
13	245917	245929	13	+	Abf1
13	275858	275870	13	+	Abf1
13	337633	337645	13	-	Abf1
13	392621	392633	13	+	Abf1
13	453856	453868	13	+	Abf1
13	517351	517363	13	-	Abf1
13	527651	527663	13	-	Abf1
13	527670	527682	13	-	Abf1
13	659356	659368	13	+	Abf1
13	664488	664500	13	-	Abf1
13	701329	701341	13	+	Abf1
13	701351	701363	13	+	Abf1
13	742855	742867	13	+	Abf1
13	789997	790009	13	+	Abf1
13	831581	831593	13	-	Abf1
13	861235	861247	13	+	Abf1
14	34376	34388	13	-	Abf1
14	34571	34583	13	-	Abf1
14	48151	48163	13	-	Abf1
14	57820	57832	13	-	Abf1
14	58021	58033	13	+	Abf1
14	91665	91677	13	-	Abf1
14	140634	140646	13	-	Abf1
14	167959	167971	13	+	Abf1
14	174758	174770	13	+	Abf1
14	174777	174789	13	-	Abf1
14	187698	187710	13	+	Abf1
14	187880	187892	13	+	Abf1
14	247277	247289	13	-	Abf1
14	251834	251846	13	-	Abf1
14	255108	255120	13	+	Abf1
14	283732	283744	13	+	Abf1
14	283928	283940	13	-	Abf1
14	295817	295829	13	-	Abf1
14	295839	295851	13	+	Abf1
14	366603	366615	13	+	Abf1
14	400690	400702	13	+	Abf1
14	400884	400896	13	-	Abf1
14	405740	405752	13	+	Abf1
14	405791	405803	13	-	Abf1
14	412617	412629	13	+	Abf1
14	417702	417714	13	-	Abf1
14	466727	466739	13	+	Abf1
14	559494	559506	13	-	Abf1
14	622776	622788	13	+	Abf1
14	694171	694183	13	-	Abf1
14	695454	695466	13	+	Abf1
14	707647	707659	13	-	Abf1
14	720877	720889	13	+	Abf1
14	723310	723322	13	+	Abf1
15	99579	99591	13	+	Abf1
15	186886	186898	13	-	Abf1
15	186902	186914	13	-	Abf1
15	201930	201942	13	-	Abf1
15	256219	256231	13	-	Abf1
15	371006	371018	13	-	Abf1
15	380823	380835	13	+	Abf1
15	413706	413718	13	-	Abf1
15	432016	432028	13	-	Abf1
15	511362	511374	13	-	Abf1
15	544494	544506	13	+	Abf1
15	544512	544524	13	+	Abf1
15	606325	606337	13	+	Abf1
15	649160	649172	13	-	Abf1
15	727342	727354	13	-	Abf1
15	733603	733615	13	+	Abf1
15	817136	817148	13	+	Abf1
15	898518	898530	13	+	Abf1
15	921398	921410	13	+	Abf1
15	1003346	1003358	13	+	Abf1
15	1009821	1009833	13	-	Abf1
16	95319	95331	13	-	Abf1
16	118126	118138	13	+	Abf1
16	207824	207836	13	+	Abf1
16	251909	251921	13	+	Abf1
16	482086	482098	13	+	Abf1
16	529474	529486	13	+	Abf1
16	554458	554470	13	+	Abf1
16	594020	594032	13	-	Abf1
16	656680	656692	13	+	Abf1
16	736820	736832	13	+	Abf1
16	792549	792561	13	-	Abf1
16	802138	802150	13	+	Abf1
16	834404	834416	13	+	Abf1
16	874987	874999	13	+	Abf1
16	892201	892213	13	-	Abf1
16	911112	911124	13	+	Abf1
16	919177	919189	13	-	Abf1
1	67757	67764	8	+	Ace2
1	68204	68211	8	-	Ace2
1	68397	68404	8	-	Ace2
1	68504	68511	8	+	Ace2
1	68531	68538	8	-	Ace2
2	554831	554838	8	+	Ace2
2	555428	555435	8	+	Ace2
2	555477	555484	8	+	Ace2
2	556075	556082	8	+	Ace2
2	558324	558331	8	-	Ace2
2	558379	558386	8	-	Ace2
2	564996	565003	8	-	Ace2
2	681097	681104	8	-	Ace2
2	682047	682054	8	-	Ace2
4	234076	234083	8	-	Ace2
4	234453	234460	8	-	Ace2
4	234631	234638	8	+	Ace2
4	238757	238764	8	+	Ace2
4	357244	357251	8	-	Ace2
4	357317	357324	8	+	Ace2
4	357448	357455	8	-	Ace2
4	357489	357496	8	+	Ace2
4	357539	357546	8	+	Ace2
4	769242	769249	8	-	Ace2
4	769285	769292	8	+	Ace2
4	769389	769396	8	+	Ace2
4	1490424	1490431	8	-	Ace2
5	332866	332873	8	+	Ace2
5	333094	333101	8	-	Ace2
5	409236	409243	8	-	Ace2
5	409306	409313	8	-	Ace2
5	409451	409458	8	+	Ace2
5	409489	409496	8	+	Ace2
5	409650	409657	8	+	Ace2
5	545215	545222	8	+	Ace2
6	15868	15875	8	-	Ace2
7	67427	67434	8	+	Ace2
7	257369	257376	8	-	Ace2
7	443427	443434	8	+	Ace2
7	443441	443448	8	+	Ace2
7	443521	443528	8	+	Ace2
7	483747	483754	8	+	Ace2
7	484331	484338	8	+	Ace2
7	485303	485310	8	-	Ace2
7	576688	576695	8	-	Ace2
7	576762	576769	8	-	Ace2
7	576830	576837	8	-	Ace2
7	576933	576940	8	+	Ace2
7	576996	577003	8	-	Ace2
7	1060563	1060570	8	-	Ace2
8	48663	48670	8	+	Ace2
9	337830	337837	8	-	Ace2
9	339194	339201	8	-	Ace2
10	119872	119879	8	+	Ace2
10	119897	119904	8	+	Ace2
10	120269	120276	8	+	Ace2
10	121872	121879	8	+	Ace2
10	141238	141245	8	+	Ace2
10	289572	289579	8	-	Ace2
10	519352	519359	8	-	Ace2
10	519549	519556	8	+	Ace2
10	703217	703224	8	-	Ace2
10	705265	705272	8	-	Ace2
10	705406	705413	8	+	Ace2
10	707028	707035	8	-	Ace2
11	166113	166120	8	+	Ace2
12	556649	556656	8	+	Ace2
12	710266	710273	8	+	Ace2
12	710658	710665	8	+	Ace2
12	710678	710685	8	-	Ace2
12	1014239	1014246	8	+	Ace2
12	1018127	1018134	8	+	Ace2
13	28045	28052	8	-	Ace2
13	70354	70361	8	+	Ace2
13	70563	70570	8	-	Ace2
13	774528	774535	8	+	Ace2
13	793427	793434	8	-	Ace2
14	23661	23668	8	+	Ace2
14	23712	23719	8	+	Ace2
14	23849	23856	8	+	Ace2
14	198100	198107	8	-	Ace2
14	198133	198140	8	+	Ace2
14	345502	345509	8	+	Ace2
14	345642	345649	8	-	Ace2
14	345649	345656	8	-	Ace2
14	479331	479338	8	+	Ace2
14	479414	479421	8	+	Ace2
14	663723	663730	8	-	Ace2
14	663916	663923	8	-	Ace2
14	664036	664043	8	-	Ace2
15	586479	586486	8	+	Ace2
15	586497	586504	8	-	Ace2
15	586609	586616	8	-	Ace2
15	586816	586823	8	+	Ace2
16	503430	503437	8	-	Ace2
1	110816	110820	5	-	Adr1
1	110824	110828	5	-	Adr1
2	443657	443661	5	+	Adr1
3	35482	35486	5	-	Adr1
3	152206	152210	5	+	Adr1
4	21181	21185	5	-	Adr1
4	22287	22291	5	+	Adr1
4	22450	22454	5	+	Adr1
4	22812	22816	5	-	Adr1
4	137617	137621	5	-	Adr1
4	242489	242493	5	+	Adr1
4	247704	247708	5	+	Adr1
4	423512	423516	5	-	Adr1
4	501065	501069	5	-	Adr1
4	1015851	1015855	5	+	Adr1
4	1016015	1016019	5	-	Adr1
4	1016155	1016159	5	+	Adr1
4	1016307	1016311	5	-	Adr1
4	1016319	1016323	5	-	Adr1
4	1016666	1016670	5	+	Adr1
4	1016834	1016838	5	+	Adr1
4	1269551	1269555	5	+	Adr1
4	1269628	1269632	5	+	Adr1
4	1269830	1269834	5	+	Adr1
4	1269925	1269929	5	+	Adr1
4	1269979	1269983	5	-	Adr1
5	271277	271281	5	-	Adr1
5	271640	271644	5	-	Adr1
5	271646	271650	5	+	Adr1
5	359129	359133	5	+	Adr1
5	359357	359361	5	+	Adr1
5	432240	432244	5	+	Adr1
5	432279	432283	5	+	Adr1
5	563257	563261	5	-	Adr1
5	563274	563278	5	-	Adr1
5	563459	563463	5	-	Adr1
5	564227	564231	5	-	Adr1
5	564689	564693	5	-	Adr1
5	564865	564869	5	-	Adr1
7	245093	245097	5	+	Adr1
7	245708	245712	5	+	Adr1
7	584658	584662	5	+	Adr1
7	662306	662310	5	-	Adr1
7	687656	687660	5	+	Adr1
8	38578	38582	5	+	Adr1
8	38696	38700	5	+	Adr1
8	38723	38727	5	+	Adr1
8	101913	101917	5	-	Adr1
8	102137	102141	5	+	Adr1
9	76034	76038	5	-	Adr1
9	321259	321263	5	-	Adr1
9	348618	348622	5	+	Adr1
10	56233	56237	5	+	Adr1
10	130672	130676	5	+	Adr1
10	302868	302872	5	+	Adr1
10	531484	531488	5	-	Adr1
10	695723	695727	5	+	Adr1
11	407828	407832	5	-	Adr1
11	408018	408022	5	-	Adr1
12	94269	94273	5	+	Adr1
12	111970	111974	5	-	Adr1
12	112687	112691	5	+	Adr1
12	337424	337428	5	-	Adr1
12	390631	390635	5	-	Adr1
12	390766	390770	5	+	Adr1
12	390913	390917	5	+	Adr1
12	707086	707090	5	+	Adr1
12	707158	707162	5	-	Adr1
12	854468	854472	5	+	Adr1
12	856270	856274	5	+	Adr1
13	28023	28027	5	-	Adr1
13	601050	601054	5	+	Adr1
13	601083	601087	5	-	Adr1
13	601230	601234	5	-	Adr1
14	437327	437331	5	+	Adr1
14	437472	437476	5	+	Adr1
14	437518	437522	5	-	Adr1
14	636852	636856	5	+	Adr1
15	364126	364130	5	+	Adr1
15	364251	364255	5	-	Adr1
15	1071327	1071331	5	-	Adr1
16	102925	102929	5	-	Adr1
16	103017	103021	5	+	Adr1
16	272819	272823	5	-	Adr1
16	273118	273122	5	+	Adr1
16	335535	335539	5	+	Adr1
16	544494	544498	5	+	Adr1
16	544517	544521	5	-	Adr1
2	181357	181363	7	-	Aft2
2	181483	181489	7	-	Aft2
2	181497	181503	7	-	Aft2
2	375859	375865	7	-	Aft2
2	376114	376120	7	+	Aft2
2	392559	392565	7	-	Aft2
2	501694	501700	7	+	Aft2
2	501706	501712	7	-	Aft2
2	633607	633613	7	+	Aft2
2	634963	634969	7	+	Aft2
2	681733	681739	7	+	Aft2
2	682045	682051	7	-	Aft2
2	682051	682057	7	-	Aft2
2	799029	799035	7	-	Aft2
2	799096	799102	7	+	Aft2
3	238816	238822	7	-	Aft2
3	238934	238940	7	+	Aft2
4	178115	178121	7	-	Aft2
4	411488	411494	7	-	Aft2
4	765433	765439	7	+	Aft2
4	769294	769300	7	-	Aft2
4	769392	769398	7	+	Aft2
4	1005382	1005388	7	+	Aft2
4	1005430	1005436	7	+	Aft2
4	1005472	1005478	7	-	Aft2
4	1005496	1005502	7	-	Aft2
4	1345145	1345151	7	+	Aft2
4	1345433	1345439	7	+	Aft2
4	1410325	1410331	7	+	Aft2
5	42094	42100	7	+	Aft2
5	42325	42331	7	+	Aft2
5	431335	431341	7	-	Aft2
5	431494	431500	7	+	Aft2
5	461904	461910	7	+	Aft2
5	461940	461946	7	-	Aft2
5	462094	462100	7	-	Aft2
5	462122	462128	7	-	Aft2
5	462374	462380	7	-	Aft2
5	545324	545330	7	+	Aft2
6	47775	47781	7	-	Aft2
6	48518	48524	7	+	Aft2
6	49011	49017	7	-	Aft2
6	183012	183018	7	+	Aft2
6	183061	183067	7	-	Aft2
7	157752	157758	7	-	Aft2
7	190917	190923	7	-	Aft2
7	190992	190998	7	+	Aft2
7	371357	371363	7	-	Aft2
7	371365	371371	7	-	Aft2
7	371380	371386	7	-	Aft2
7	371401	371407	7	-	Aft2
7	398025	398031	7	+	Aft2
7	398382	398388	7	-	Aft2
7	753889	753895	7	+	Aft2
7	754076	754082	7	-	Aft2
8	97974	97980	7	+	Aft2
8	175247	175253	7	-	Aft2
8	175449	175455	7	+	Aft2
9	394884	394890	7	-	Aft2
10	36402	36408	7	-	Aft2
10	160124	160130	7	-	Aft2
10	160170	160176	7	-	Aft2
10	381132	381138	7	-	Aft2
10	381144	381150	7	-	Aft2
10	448890	448896	7	+	Aft2
10	448955	448961	7	+	Aft2
10	448999	449005	7	+	Aft2
10	521813	521819	7	-	Aft2
10	623191	623197	7	+	Aft2
10	623294	623300	7	-	Aft2
11	3406	3412	7	+	Aft2
11	247468	247474	7	+	Aft2
11	338687	338693	7	+	Aft2
11	533338	533344	7	+	Aft2
11	533371	533377	7	+	Aft2
11	533406	533412	7	+	Aft2
12	168966	168972	7	+	Aft2
12	212252	212258	7	+	Aft2
12	212289	212295	7	+	Aft2
12	212358	212364	7	-	Aft2
12	388384	388390	7	-	Aft2
12	388593	388599	7	+	Aft2
12	510516	510522	7	-	Aft2
12	510540	510546	7	-	Aft2
12	510634	510640	7	+	Aft2
12	553813	553819	7	-	Aft2
12	553834	553840	7	-	Aft2
12	553944	553950	7	+	Aft2
12	554024	554030	7	+	Aft2
12	554080	554086	7	-	Aft2
12	554124	554130	7	-	Aft2
12	554130	554136	7	-	Aft2
12	554326	554332	7	+	Aft2
12	554546	554552	7	-	Aft2
12	805282	805288	7	-	Aft2
12	1014184	1014190	7	+	Aft2
12	1014355	1014361	7	+	Aft2
13	70367	70373	7	-	Aft2
13	70472	70478	7	-	Aft2
13	302958	302964	7	+	Aft2
13	302965	302971	7	+	Aft2
13	302971	302977	7	+	Aft2
13	340802	340808	7	+	Aft2
13	341080	341086	7	+	Aft2
13	352184	352190	7	-	Aft2
13	505036	505042	7	-	Aft2
13	616188	616194	7	-	Aft2
13	701085	701091	7	+	Aft2
13	798162	798168	7	-	Aft2
13	826697	826703	7	-	Aft2
14	138273	138279	7	-	Aft2
14	157976	157982	7	-	Aft2
14	198161	198167	7	-	Aft2
14	198482	198488	7	+	Aft2
14	273927	273933	7	+	Aft2
14	274050	274056	7	+	Aft2
14	456509	456515	7	+	Aft2
14	625937	625943	7	+	Aft2
14	664245	664251	7	-	Aft2
14	675973	675979	7	-	Aft2
15	27904	27910	7	+	Aft2
15	28299	28305	7	-	Aft2
15	762186	762192	7	-	Aft2
15	762243	762249	7	+	Aft2
15	762335	762341	7	+	Aft2
15	762410	762416	7	+	Aft2
15	943504	943510	7	-	Aft2
15	1058857	1058863	7	+	Aft2
15	1059054	1059060	7	+	Aft2
15	1059198	1059204	7	+	Aft2
15	1059263	1059269	7	-	Aft2
15	1059280	1059286	7	-	Aft2
15	1059332	1059338	7	-	Aft2
15	1059398	1059404	7	+	Aft2
15	1059455	1059461	7	+	Aft2
15	1061231	1061237	7	-	Aft2
15	1061316	1061322	7	+	Aft2
15	1061332	1061338	7	+	Aft2
15	1061546	1061552	7	-	Aft2
16	128582	128588	7	+	Aft2
16	128592	128598	7	-	Aft2
16	257186	257192	7	-	Aft2
16	297292	297298	7	+	Aft2
16	297300	297306	7	-	Aft2
16	486186	486192	7	-	Aft2
16	486443	486449	7	+	Aft2
16	645433	645439	7	+	Aft2
16	645446	645452	7	+	Aft2
16	645544	645550	7	+	Aft2
16	678590	678596	7	+	Aft2
16	678813	678819	7	+	Aft2
16	678895	678901	7	+	Aft2
16	770648	770654	7	-	Aft2
16	771012	771018	7	+	Aft2
16	831844	831850	7	-	Aft2
16	832012	832018	7	+	Aft2
2	88271	88276	6	-	Arg80
2	117382	117387	6	-	Arg80
2	326837	326842	6	+	Arg80
2	332610	332615	6	+	Arg80
2	332794	332799	6	-	Arg80
2	407674	407679	6	-	Arg80
2	408404	408409	6	-	Arg80
2	408621	408626	6	-	Arg80
3	148975	148980	6	+	Arg80
3	149167	149172	6	+	Arg80
4	144285	144290	6	-	Arg80
4	323268	323273	6	-	Arg80
4	323345	323350	6	-	Arg80
4	541420	541425	6	+	Arg80
4	541584	541589	6	-	Arg80
4	555209	555214	6	-	Arg80
4	600269	600274	6	+	Arg80
4	1330437	1330442	6	+	Arg80
4	1362447	1362452	6	+	Arg80
4	1362481	1362486	6	+	Arg80
4	1405907	1405912	6	+	Arg80
5	206923	206928	6	-	Arg80
5	207618	207623	6	-	Arg80
5	248187	248192	6	+	Arg80
5	248396	248401	6	-	Arg80
5	286920	286925	6	-	Arg80
5	287113	287118	6	-	Arg80
5	287145	287150	6	+	Arg80
5	287209	287214	6	-	Arg80
5	287280	287285	6	+	Arg80
5	287449	287454	6	-	Arg80
5	295036	295041	6	+	Arg80
5	295185	295190	6	-	Arg80
5	295231	295236	6	-	Arg80
5	406463	406468	6	-	Arg80
6	90506	90511	6	+	Arg80
6	90579	90584	6	+	Arg80
6	137310	137315	6	-	Arg80
7	149590	149595	6	-	Arg80
7	357033	357038	6	+	Arg80
7	576790	576795	6	-	Arg80
7	577132	577137	6	-	Arg80
7	840637	840642	6	-	Arg80
7	932425	932430	6	-	Arg80
8	268270	268275	6	-	Arg80
8	461833	461838	6	-	Arg80
10	90734	90739	6	-	Arg80
10	91922	91927	6	-	Arg80
10	139926	139931	6	-	Arg80
10	139976	139981	6	+	Arg80
10	268480	268485	6	-	Arg80
10	415528	415533	6	+	Arg80
11	77182	77187	6	+	Arg80
11	191581	191586	6	-	Arg80
11	327385	327390	6	+	Arg80
11	327391	327396	6	+	Arg80
11	327520	327525	6	-	Arg80
12	127359	127364	6	+	Arg80
12	733995	734000	6	-	Arg80
12	735102	735107	6	-	Arg80
12	735118	735123	6	+	Arg80
12	790499	790504	6	-	Arg80
13	77181	77186	6	+	Arg80
13	220968	220973	6	-	Arg80
13	221079	221084	6	+	Arg80
13	221283	221288	6	-	Arg80
13	335253	335258	6	-	Arg80
13	353828	353833	6	-	Arg80
14	87391	87396	6	+	Arg80
14	389877	389882	6	-	Arg80
14	535105	535110	6	-	Arg80
15	58579	58584	6	-	Arg80
15	101101	101106	6	+	Arg80
15	326598	326603	6	+	Arg80
15	729715	729720	6	+	Arg80
15	738793	738798	6	-	Arg80
15	770000	770005	6	-	Arg80
15	770355	770360	6	+	Arg80
15	1028655	1028660	6	-	Arg80
16	214320	214325	6	-	Arg80
16	214462	214467	6	+	Arg80
16	214892	214897	6	-	Arg80
16	215244	215249	6	+	Arg80
16	215281	215286	6	+	Arg80
16	215294	215299	6	+	Arg80
2	165200	165206	7	+	Arg81
2	165572	165578	7	-	Arg81
2	165784	165790	7	-	Arg81
2	390139	390145	7	-	Arg81
2	431245	431251	7	-	Arg81
4	284517	284523	7	+	Arg81
4	323268	323274	7	-	Arg81
4	1354759	1354765	7	+	Arg81
5	295185	295191	7	-	Arg81
5	295231	295237	7	-	Arg81
6	90505	90511	7	+	Arg81
8	160589	160595	7	+	Arg81
8	160716	160722	7	-	Arg81
10	268480	268486	7	-	Arg81
12	733995	734001	7	-	Arg81
13	77180	77186	7	+	Arg81
14	68673	68679	7	+	Arg81
15	38919	38925	7	+	Arg81
15	39351	39357	7	+	Arg81
15	58579	58585	7	-	Arg81
15	218866	218872	7	-	Arg81
15	218936	218942	7	+	Arg81
16	40235	40241	7	-	Arg81
16	215293	215299	7	+	Arg81
16	745634	745640	7	+	Arg81
8	375547	375569	23	-	Aro80
1	120087	120094	8	-	Arr1
1	120196	120203	8	-	Arr1
2	316656	316663	8	+	Arr1
2	450804	450811	8	-	Arr1
2	450820	450827	8	-	Arr1
2	450847	450854	8	+	Arr1
3	29219	29226	8	-	Arr1
3	29506	29513	8	+	Arr1
3	29828	29835	8	-	Arr1
4	322992	322999	8	-	Arr1
4	323781	323788	8	+	Arr1
4	450157	450164	8	+	Arr1
4	541364	541371	8	+	Arr1
4	541662	541669	8	+	Arr1
4	560674	560681	8	+	Arr1
4	560728	560735	8	-	Arr1
4	561373	561380	8	+	Arr1
4	561391	561398	8	-	Arr1
4	668641	668648	8	-	Arr1
4	870615	870622	8	+	Arr1
4	870625	870632	8	+	Arr1
4	870634	870641	8	-	Arr1
4	1068482	1068489	8	-	Arr1
4	1354741	1354748	8	+	Arr1
5	167327	167334	8	-	Arr1
5	167511	167518	8	-	Arr1
5	406531	406538	8	-	Arr1
5	406788	406795	8	-	Arr1
5	407317	407324	8	-	Arr1
5	555656	555663	8	-	Arr1
6	137219	137226	8	+	Arr1
6	248169	248176	8	+	Arr1
6	248305	248312	8	+	Arr1
7	25584	25591	8	-	Arr1
7	840725	840732	8	-	Arr1
7	840792	840799	8	-	Arr1
7	882372	882379	8	+	Arr1
7	882744	882751	8	-	Arr1
7	882783	882790	8	+	Arr1
7	961142	961149	8	+	Arr1
7	961296	961303	8	+	Arr1
7	1057298	1057305	8	+	Arr1
7	1057641	1057648	8	+	Arr1
8	377907	377914	8	-	Arr1
8	490432	490439	8	-	Arr1
10	121728	121735	8	-	Arr1
10	121801	121808	8	+	Arr1
10	122116	122123	8	-	Arr1
10	519515	519522	8	-	Arr1
10	701952	701959	8	+	Arr1
11	16392	16399	8	+	Arr1
11	30707	30714	8	+	Arr1
11	30884	30891	8	+	Arr1
11	439176	439183	8	-	Arr1
11	440078	440085	8	+	Arr1
11	558790	558797	8	+	Arr1
12	94638	94645	8	-	Arr1
12	95480	95487	8	+	Arr1
12	112739	112746	8	+	Arr1
12	184999	185006	8	-	Arr1
12	185122	185129	8	-	Arr1
12	563656	563663	8	+	Arr1
12	794593	794600	8	+	Arr1
12	794674	794681	8	+	Arr1
12	794997	795004	8	-	Arr1
12	795088	795095	8	-	Arr1
12	795499	795506	8	+	Arr1
13	27961	27968	8	-	Arr1
13	27988	27995	8	-	Arr1
13	28032	28039	8	-	Arr1
13	28110	28117	8	-	Arr1
13	140398	140405	8	-	Arr1
13	268214	268221	8	+	Arr1
13	268930	268937	8	+	Arr1
13	297141	297148	8	+	Arr1
13	297178	297185	8	-	Arr1
13	297238	297245	8	+	Arr1
13	297291	297298	8	-	Arr1
13	297425	297432	8	+	Arr1
13	298157	298164	8	+	Arr1
13	298494	298501	8	-	Arr1
13	442380	442387	8	+	Arr1
13	442421	442428	8	-	Arr1
13	472572	472579	8	+	Arr1
13	472769	472776	8	+	Arr1
